SPAC1565.02c	viable
SPAC1565.03	viable
SPAC1565.04c	viable
SPAC1565.05	inviable
SPAC1565.06c	inviable
SPAC1565.07c	viable
SPAC1565.08	inviable
SPAC15A10.01	condition-dependent
SPAC15A10.02	inviable
SPAC15A10.03c	viable
SPAC15A10.04c	inviable
SPAC15A10.05c	viable
SPAC15A10.06	viable
SPAC15A10.07	viable
SPAC15A10.08	viable
SPAC15A10.09c	viable
SPAC15A10.10	viable
SPAC15A10.11	viable
SPAC15A10.12c	inviable
SPAC15A10.13	viable
SPAC15A10.15	viable
SPAC15A10.16	viable
SPAC15A10.17	viable
SPAC15E1.02c	viable
SPAC15E1.03	viable
SPAC15E1.04	viable
SPAC15E1.05c	viable
SPAC15E1.06	viable
SPAC15E1.07c	viable
SPAC15E1.08	inviable
SPAC15E1.09	viable
SPAC15E1.10	viable
SPAC15F9.01c	viable
SPAC15F9.02	viable
SPAC15F9.03c	inviable
SPAC16.01	viable
SPAC16.02c	inviable
SPAC16.03c	viable
SPAC16.04	viable
SPAC16.05c	viable
SPAC1610.01	viable
SPAC1610.02c	viable
SPAC1610.03c	viable
SPAC1610.04	viable
SPAC1635.01	viable
SPAC1639.01c	viable
SPAC1639.02c	viable
SPAC167.01	viable
SPAC167.02	inviable
SPAC167.03c	inviable
SPAC167.04	viable
SPAC167.05	viable
SPAC167.06c	viable
SPAC167.07c	viable
SPAC167.08	unknown
SPAC167.09	unknown
SPAC1687.01	inviable
SPAC1687.02	inviable
SPAC1687.03c	inviable
SPAC1687.04	inviable
SPAC1687.05	viable
SPAC1687.06c	viable
SPAC1687.07	viable
SPAC1687.08	viable
SPAC1687.09	viable
SPAC1687.10	viable
SPAC1687.11	inviable
SPAC1687.12c	condition-dependent
SPAC1687.13c	viable
SPAC1687.14c	viable
SPAC1687.15	viable
SPAC1687.16c	viable
SPAC1687.17c	viable
SPAC1687.18c	inviable
SPAC1687.19c	viable
SPAC1687.20c	inviable
SPAC1687.21	viable
SPAC1687.22c	viable
SPAC1687.23c	viable
SPAC16A10.01	viable
SPAC16A10.02	viable
SPAC16A10.03c	viable
SPAC16A10.04	viable
SPAC16A10.05c	viable
SPAC16A10.06c	inviable
SPAC16A10.07c	viable
SPAC16A10.08c	unknown
SPAC16C9.01c	viable
SPAC16C9.02c	viable
SPAC16C9.03	inviable
SPAC16C9.04c	viable
SPAC16C9.05	viable
SPAC16C9.06c	viable
SPAC16C9.07	viable
SPAC16E8.01	viable
SPAC16E8.02	inviable
SPAC16E8.03	inviable
SPAC16E8.04c	inviable
SPAC16E8.05c	viable
SPAC16E8.06c	viable
SPAC16E8.07c	inviable
SPAC16E8.08	viable
SPAC16E8.09	viable
SPAC16E8.10c	inviable
SPAC16E8.11c	inviable
SPAC16E8.12c	viable
SPAC16E8.13	viable
SPAC16E8.14c	viable
SPAC16E8.15	inviable
SPAC16E8.16	inviable
SPAC16E8.17c	viable
SPAC16E8.18	viable
SPAC16E8.18c	unknown
SPAC1705.02	viable
SPAC1705.03c	condition-dependent
SPAC1751.01c	viable
SPAC1751.02c	inviable
SPAC1751.03	inviable
SPAC1751.04	viable
SPAC1782.01	viable
SPAC1782.02c	viable
SPAC1782.03	inviable
SPAC1782.04	viable
SPAC1782.05	viable
SPAC1782.06c	viable
SPAC1782.07	viable
SPAC1782.08c	viable
SPAC1782.09c	viable
SPAC1782.10c	inviable
SPAC1782.11	viable
SPAC1782.12c	viable
SPAC1783.01	viable
SPAC1783.02c	viable
SPAC1783.03	inviable
SPAC1783.04c	viable
SPAC1783.05	viable
SPAC1783.06c	viable
SPAC1783.07c	viable
SPAC1783.08c	viable
SPAC1786.01c	viable
SPAC1786.02	viable
SPAC1786.03	inviable
SPAC1786.04	viable
SPAC17A2.01	viable
SPAC17A2.02c	viable
SPAC17A2.03c	inviable
SPAC17A2.04c	inviable
SPAC17A2.05	viable
SPAC17A2.06c	viable
SPAC17A2.07c	viable
SPAC17A2.08c	condition-dependent
SPAC17A2.09c	viable
SPAC17A2.10c	viable
SPAC17A2.11	viable
SPAC17A2.12	viable
SPAC17A2.13c	viable
SPAC17A2.14	viable
SPAC17A5.01	viable
SPAC17A5.02c	viable
SPAC17A5.03	inviable
SPAC17A5.04c	viable
SPAC17A5.05c	viable
SPAC17A5.06	inviable
SPAC17A5.07c	condition-dependent
SPAC17A5.08	viable
SPAC17A5.09c	viable
SPAC17A5.10	viable
SPAC17A5.11	viable
SPAC17A5.12	inviable
SPAC17A5.13	inviable
SPAC17A5.14	viable
SPAC17A5.15c	inviable
SPAC17A5.16	viable
SPAC17A5.18c	viable
SPAC17A5.19	viable
SPAC17C9.01c	inviable
SPAC17C9.02c	condition-dependent
SPAC17C9.03	inviable
SPAC17C9.05c	viable
SPAC17C9.06	inviable
SPAC17C9.07	viable
SPAC17C9.08	viable
SPAC17C9.09c	viable
SPAC17C9.10	viable
SPAC17C9.11c	viable
SPAC17C9.12	viable
SPAC17C9.13c	condition-dependent
SPAC17C9.14	viable
SPAC17C9.15c	viable
SPAC17C9.16c	viable
SPAC17D4.01	viable
SPAC17D4.02	inviable
SPAC17D4.03c	condition-dependent
SPAC17D4.04	viable
SPAC17G6.02c	viable
SPAC17G6.03	viable
SPAC17G6.04c	viable
SPAC17G6.05c	viable
SPAC17G6.06	viable
SPAC17G6.07c	inviable
SPAC17G6.08	viable
SPAC17G6.09	inviable
SPAC17G6.10	inviable
SPAC17G6.11c	inviable
SPAC17G6.12	inviable
SPAC17G6.13	viable
SPAC17G6.14c	inviable
SPAC17G6.15c	viable
